day,return_bin,regime
0,small_drop,low_vol
1,flat,low_vol
2,flat,high_vol
3,large_gain,high_vol
4,large_gain,high_vol
5,small_drop,high_vol
6,small_drop,high_vol
7,small_gain,high_vol
8,large_drop,high_vol
9,small_drop,high_vol
10,flat,high_vol
11,small_drop,high_vol
12,large_drop,high_vol
13,large_drop,high_vol
14,flat,high_vol
15,large_gain,high_vol
16,flat,low_vol
17,small_gain,low_vol
18,flat,low_vol
19,flat,low_vol
20,small_gain,low_vol
21,large_gain,low_vol
22,small_gain,low_vol
23,small_gain,low_vol
24,small_gain,low_vol
25,small_drop,low_vol
26,flat,low_vol
27,flat,low_vol
28,flat,low_vol
29,flat,low_vol
30,small_drop,low_vol
31,large_gain,low_vol
32,flat,low_vol
33,flat,low_vol
34,small_drop,low_vol
35,flat,low_vol
36,flat,low_vol
37,flat,low_vol
38,small_drop,low_vol
39,large_gain,low_vol
40,large_gain,low_vol
41,small_gain,low_vol
42,large_gain,low_vol
43,flat,low_vol
44,flat,low_vol
45,small_gain,low_vol
46,small_gain,low_vol
47,flat,low_vol
48,small_drop,low_vol
49,flat,low_vol
50,flat,low_vol
51,large_gain,low_vol
52,flat,low_vol
53,flat,low_vol
54,flat,low_vol
55,small_gain,low_vol
56,large_gain,low_vol
57,flat,low_vol
58,flat,low_vol
59,flat,low_vol
60,small_gain,low_vol
61,flat,low_vol
62,small_drop,low_vol
63,flat,low_vol
64,flat,low_vol
65,large_drop,high_vol
66,small_drop,high_vol
67,flat,high_vol
68,large_gain,high_vol
69,flat,low_vol
70,flat,low_vol
71,small_gain,low_vol
72,flat,low_vol
73,flat,low_vol
74,flat,low_vol
75,flat,low_vol
76,large_gain,low_vol
77,small_gain,low_vol
78,small_drop,low_vol
79,flat,low_vol
80,small_gain,low_vol
81,flat,low_vol
82,flat,low_vol
83,small_gain,low_vol
84,flat,low_vol
85,small_gain,low_vol
86,flat,low_vol
87,small_gain,low_vol
88,large_gain,low_vol
89,small_gain,low_vol
90,small_drop,low_vol
91,large_gain,low_vol
92,flat,low_vol
93,small_gain,low_vol
94,large_gain,low_vol
95,flat,low_vol
96,large_drop,low_vol
97,large_gain,low_vol
98,flat,low_vol
99,flat,low_vol
100,flat,low_vol
101,flat,low_vol
102,large_gain,low_vol
103,flat,low_vol
104,flat,low_vol
105,flat,low_vol
106,flat,low_vol
107,small_gain,low_vol
108,flat,low_vol
109,flat,low_vol
110,small_drop,low_vol
111,small_drop,low_vol
112,small_drop,low_vol
113,flat,low_vol
114,flat,low_vol
115,flat,low_vol
116,small_drop,low_vol
117,small_gain,low_vol
118,flat,low_vol
119,flat,low_vol
120,flat,low_vol
121,small_gain,low_vol
122,small_drop,low_vol
123,flat,low_vol
124,large_gain,low_vol
125,small_gain,low_vol
126,flat,low_vol
127,small_gain,low_vol
128,small_drop,low_vol
129,small_drop,low_vol
130,flat,low_vol
131,large_drop,low_vol
132,large_gain,low_vol
133,large_drop,high_vol
134,large_drop,high_vol
135,large_drop,high_vol
136,small_drop,high_vol
137,large_gain,high_vol
138,small_gain,high_vol
139,small_drop,high_vol
140,small_drop,high_vol
141,large_gain,high_vol
142,large_drop,high_vol
143,small_drop,high_vol
144,small_gain,high_vol
145,large_drop,high_vol
146,flat,high_vol
147,large_drop,high_vol
148,large_gain,high_vol
149,flat,high_vol
150,large_drop,high_vol
151,large_gain,high_vol
152,flat,high_vol
153,small_drop,high_vol
154,small_gain,high_vol
155,small_gain,high_vol
156,large_drop,high_vol
157,small_gain,high_vol
158,small_drop,high_vol
159,small_drop,high_vol
160,flat,high_vol
161,small_gain,high_vol
162,small_gain,high_vol
163,large_gain,high_vol
164,flat,high_vol
165,small_drop,low_vol
166,flat,low_vol
167,small_gain,low_vol
168,flat,low_vol
169,small_gain,low_vol
170,flat,low_vol
171,flat,low_vol
172,flat,low_vol
173,flat,low_vol
174,small_drop,low_vol
175,small_gain,low_vol
176,small_drop,low_vol
177,flat,low_vol
178,small_gain,low_vol
179,flat,low_vol
180,large_gain,low_vol
181,flat,low_vol
182,large_gain,low_vol
183,flat,low_vol
184,flat,low_vol
185,flat,low_vol
186,small_gain,low_vol
187,large_gain,low_vol
188,small_gain,low_vol
189,small_gain,low_vol
190,flat,low_vol
191,flat,low_vol
192,small_gain,low_vol
193,flat,low_vol
194,flat,low_vol
195,flat,low_vol
196,flat,low_vol
197,small_gain,low_vol
198,large_gain,low_vol
199,small_gain,low_vol
200,flat,low_vol
201,large_gain,low_vol
202,flat,low_vol
203,small_drop,low_vol
204,small_drop,low_vol
205,flat,low_vol
206,flat,low_vol
207,flat,low_vol
208,flat,low_vol
209,flat,low_vol
210,small_gain,low_vol
211,small_gain,low_vol
212,flat,low_vol
213,flat,low_vol
214,flat,low_vol
215,flat,low_vol
216,flat,low_vol
217,large_gain,low_vol
218,small_gain,low_vol
219,flat,low_vol
220,flat,low_vol
221,small_drop,low_vol
222,flat,low_vol
223,flat,low_vol
224,small_gain,low_vol
225,flat,low_vol
226,flat,low_vol
227,flat,low_vol
228,small_gain,low_vol
229,flat,low_vol
230,large_gain,low_vol
231,flat,low_vol
232,small_drop,low_vol
233,large_gain,low_vol
234,flat,low_vol
235,flat,low_vol
236,flat,high_vol
237,flat,high_vol
238,large_gain,high_vol
239,large_drop,low_vol
240,flat,low_vol
241,small_gain,low_vol
242,flat,low_vol
243,large_gain,low_vol
244,flat,low_vol
245,flat,low_vol
246,flat,low_vol
247,small_gain,low_vol
248,small_gain,low_vol
249,flat,low_vol
250,flat,low_vol
251,flat,low_vol
252,small_drop,low_vol
253,large_drop,low_vol
254,flat,low_vol
255,flat,low_vol
256,flat,low_vol
257,small_gain,low_vol
258,small_drop,low_vol
259,flat,low_vol
260,small_gain,low_vol
261,flat,low_vol
262,flat,low_vol
263,flat,low_vol
264,small_gain,low_vol
265,small_gain,low_vol
266,small_gain,low_vol
267,flat,low_vol
268,small_gain,low_vol
269,small_gain,low_vol
270,small_gain,low_vol
271,flat,low_vol
272,flat,low_vol
273,flat,low_vol
274,flat,low_vol
275,flat,low_vol
276,flat,low_vol
277,flat,low_vol
278,small_gain,low_vol
279,flat,low_vol
280,small_gain,low_vol
281,small_gain,low_vol
282,flat,low_vol
283,flat,low_vol
284,small_gain,low_vol
285,small_gain,low_vol
286,flat,low_vol
287,large_gain,low_vol
288,large_gain,low_vol
289,flat,low_vol
290,flat,low_vol
291,flat,low_vol
292,flat,low_vol
293,flat,low_vol
294,small_gain,low_vol
295,flat,low_vol
296,flat,low_vol
297,large_gain,low_vol
298,flat,low_vol
299,small_gain,low_vol
300,flat,low_vol
301,flat,low_vol
302,flat,low_vol
303,flat,low_vol
304,small_drop,low_vol
305,small_gain,low_vol
306,small_drop,low_vol
307,flat,low_vol
308,flat,low_vol
309,flat,low_vol
310,flat,low_vol
311,flat,low_vol
312,flat,low_vol
313,flat,low_vol
314,small_drop,high_vol
315,small_gain,high_vol
316,large_gain,high_vol
317,large_gain,high_vol
318,large_gain,high_vol
319,small_drop,high_vol
320,large_drop,high_vol
321,flat,high_vol
322,large_drop,high_vol
323,small_drop,high_vol
324,large_drop,high_vol
325,small_gain,high_vol
326,small_drop,high_vol
327,flat,high_vol
328,small_drop,high_vol
329,large_gain,high_vol
330,flat,high_vol
331,flat,high_vol
332,small_drop,high_vol
333,flat,high_vol
334,large_gain,high_vol
335,large_gain,high_vol
336,large_gain,high_vol
337,large_drop,high_vol
338,large_gain,high_vol
339,small_gain,high_vol
340,large_drop,high_vol
341,large_gain,high_vol
342,flat,high_vol
343,large_drop,high_vol
344,small_drop,high_vol
345,small_gain,high_vol
346,small_drop,high_vol
347,small_gain,high_vol
348,large_gain,high_vol
349,small_gain,high_vol
350,large_drop,high_vol
351,small_gain,high_vol
352,large_gain,high_vol
353,large_drop,high_vol
354,flat,high_vol
355,large_drop,high_vol
356,small_gain,high_vol
357,small_gain,high_vol
358,large_gain,high_vol
359,large_gain,high_vol
360,small_gain,high_vol
361,large_gain,high_vol
362,small_drop,high_vol
363,small_gain,high_vol
364,flat,high_vol
365,large_gain,high_vol
366,large_gain,high_vol
367,small_drop,high_vol
368,flat,high_vol
369,large_drop,high_vol
370,flat,high_vol
371,large_gain,high_vol
372,flat,high_vol
373,large_gain,high_vol
374,large_gain,high_vol
375,large_gain,high_vol
376,large_drop,high_vol
377,small_gain,high_vol
378,large_drop,high_vol
379,large_drop,high_vol
380,small_gain,high_vol
381,large_gain,high_vol
382,large_gain,high_vol
383,flat,high_vol
384,flat,high_vol
385,large_drop,high_vol
386,small_drop,high_vol
387,small_gain,high_vol
388,small_gain,high_vol
389,small_drop,high_vol
390,small_gain,high_vol
391,large_drop,high_vol
392,flat,high_vol
393,flat,high_vol
394,large_gain,high_vol
395,small_gain,high_vol
396,small_gain,high_vol
397,large_gain,high_vol
398,large_drop,high_vol
399,small_drop,high_vol
400,flat,high_vol
401,flat,high_vol
402,large_drop,high_vol
403,small_gain,high_vol
404,small_drop,high_vol
405,small_gain,high_vol
406,large_gain,high_vol
407,flat,high_vol
408,small_drop,high_vol
409,flat,high_vol
410,flat,high_vol
411,small_drop,high_vol
412,flat,high_vol
413,large_drop,high_vol
414,small_drop,high_vol
415,small_gain,high_vol
416,large_gain,high_vol
417,flat,high_vol
418,large_drop,high_vol
419,flat,low_vol
420,flat,low_vol
421,flat,low_vol
422,large_gain,low_vol
423,flat,low_vol
424,flat,low_vol
425,flat,low_vol
426,large_gain,low_vol
427,small_gain,low_vol
428,flat,low_vol
429,flat,low_vol
430,large_gain,low_vol
431,flat,low_vol
432,small_drop,low_vol
433,large_gain,low_vol
434,flat,low_vol
435,small_drop,low_vol
436,flat,low_vol
437,flat,low_vol
438,small_drop,low_vol
439,flat,low_vol
440,small_gain,low_vol
441,flat,low_vol
442,flat,low_vol
443,small_drop,low_vol
444,small_gain,low_vol
445,large_gain,low_vol
446,flat,low_vol
447,flat,low_vol
448,flat,low_vol
449,flat,low_vol
450,small_gain,low_vol
451,small_gain,low_vol
452,small_gain,low_vol
453,small_gain,low_vol
454,flat,low_vol
455,small_drop,low_vol
456,flat,low_vol
457,flat,low_vol
458,small_drop,low_vol
459,flat,low_vol
460,small_drop,low_vol
461,flat,low_vol
462,small_drop,low_vol
463,small_gain,low_vol
464,flat,low_vol
465,flat,low_vol
466,flat,low_vol
467,flat,low_vol
468,flat,low_vol
469,flat,low_vol
470,flat,low_vol
471,flat,low_vol
472,small_gain,low_vol
473,small_drop,low_vol
474,flat,low_vol
475,small_drop,low_vol
476,flat,low_vol
477,flat,low_vol
478,flat,low_vol
479,small_gain,low_vol
480,flat,low_vol
481,flat,low_vol
482,small_drop,low_vol
483,flat,low_vol
484,flat,low_vol
485,large_drop,high_vol
486,large_drop,high_vol
487,large_drop,high_vol
488,small_gain,high_vol
489,small_drop,high_vol
490,large_gain,high_vol
491,small_drop,high_vol
492,small_gain,high_vol
493,flat,high_vol
494,small_gain,high_vol
495,large_gain,high_vol
496,small_gain,high_vol
497,large_gain,high_vol
498,large_drop,high_vol
499,small_drop,high_vol
500,flat,high_vol
501,small_gain,high_vol
502,flat,high_vol
503,large_gain,high_vol
504,small_gain,high_vol
505,flat,high_vol
506,large_drop,high_vol
507,large_gain,high_vol
508,large_gain,high_vol
509,small_gain,high_vol
510,large_gain,high_vol
511,flat,low_vol
512,flat,low_vol
513,large_drop,low_vol
514,small_gain,low_vol
515,small_drop,low_vol
516,small_drop,low_vol
517,small_gain,low_vol
518,flat,low_vol
519,large_drop,low_vol
520,flat,low_vol
521,flat,low_vol
522,flat,low_vol
523,flat,low_vol
524,large_gain,low_vol
525,flat,low_vol
526,small_gain,low_vol
527,small_gain,low_vol
528,large_gain,low_vol
529,small_gain,low_vol
530,large_gain,low_vol
531,flat,low_vol
532,large_drop,low_vol
533,flat,low_vol
534,flat,low_vol
535,flat,low_vol
536,small_drop,low_vol
537,flat,low_vol
538,small_drop,low_vol
539,small_gain,low_vol
540,small_drop,low_vol
541,flat,low_vol
542,flat,low_vol
543,flat,low_vol
544,flat,low_vol
545,flat,low_vol
546,large_gain,low_vol
547,flat,low_vol
548,small_gain,low_vol
549,small_drop,low_vol
550,large_gain,low_vol
551,flat,low_vol
552,flat,low_vol
553,flat,low_vol
554,flat,low_vol
555,flat,low_vol
556,flat,low_vol
557,flat,low_vol
558,flat,low_vol
559,flat,low_vol
560,flat,low_vol
561,flat,low_vol
562,flat,low_vol
563,flat,low_vol
564,small_gain,low_vol
565,small_drop,low_vol
566,flat,low_vol
567,flat,low_vol
568,large_gain,low_vol
569,flat,low_vol
570,flat,low_vol
571,flat,low_vol
572,flat,low_vol
573,flat,low_vol
574,small_gain,low_vol
575,flat,low_vol
576,small_drop,low_vol
577,flat,low_vol
578,flat,low_vol
579,small_gain,low_vol
580,flat,low_vol
581,small_gain,low_vol
582,flat,low_vol
583,flat,low_vol
584,flat,low_vol
585,flat,low_vol
586,flat,low_vol
587,flat,low_vol
588,small_gain,low_vol
589,large_drop,low_vol
590,large_drop,high_vol
591,large_gain,high_vol
592,small_gain,high_vol
593,large_gain,high_vol
594,large_gain,high_vol
595,flat,low_vol
596,small_drop,low_vol
597,flat,low_vol
598,flat,low_vol
599,flat,low_vol
600,flat,low_vol
601,small_gain,low_vol
602,small_gain,low_vol
603,flat,low_vol
604,flat,low_vol
605,flat,low_vol
606,flat,low_vol
607,small_gain,low_vol
608,flat,low_vol
609,large_gain,low_vol
610,flat,low_vol
611,small_gain,low_vol
612,small_gain,low_vol
613,flat,low_vol
614,small_drop,low_vol
615,flat,low_vol
616,flat,low_vol
617,small_gain,low_vol
618,small_gain,low_vol
619,flat,low_vol
620,flat,low_vol
621,flat,low_vol
622,small_gain,low_vol
623,small_gain,low_vol
624,flat,low_vol
625,flat,low_vol
626,small_drop,low_vol
627,large_drop,low_vol
628,flat,low_vol
629,flat,low_vol
630,flat,low_vol
631,large_gain,low_vol
632,small_gain,low_vol
633,flat,low_vol
634,small_drop,low_vol
635,flat,low_vol
636,flat,low_vol
637,flat,low_vol
638,flat,low_vol
639,flat,low_vol
640,flat,low_vol
641,flat,low_vol
642,flat,low_vol
643,flat,low_vol
644,small_gain,low_vol
645,large_drop,low_vol
646,small_drop,low_vol
647,flat,low_vol
648,flat,low_vol
649,flat,low_vol
650,flat,low_vol
651,flat,low_vol
652,small_drop,low_vol
653,flat,low_vol
654,flat,low_vol
655,small_gain,low_vol
656,large_gain,low_vol
657,flat,low_vol
658,small_gain,low_vol
659,small_drop,low_vol
660,small_gain,high_vol
661,flat,high_vol
662,flat,high_vol
663,flat,high_vol
664,small_drop,high_vol
665,large_gain,low_vol
666,flat,low_vol
667,flat,low_vol
668,small_drop,low_vol
669,small_drop,low_vol
670,small_gain,low_vol
671,flat,low_vol
672,large_gain,high_vol
673,small_gain,high_vol
674,small_gain,high_vol
675,small_drop,high_vol
676,large_gain,high_vol
677,small_gain,high_vol
