subject,subject_idx,day,reaction
309,1,1,205.2658
309,1,2,202.9778
309,1,3,204.707
309,1,4,207.7161
309,1,5,215.9618
309,1,7,217.7272
309,1,8,224.2957
309,1,9,237.3142
310,2,1,194.3322
310,2,2,234.32
310,2,5,220.4579
310,2,6,235.4208
310,2,9,247.5153
331,4,4,316.2773
331,4,5,293.3187
331,4,6,290.075
331,4,7,334.8177
331,4,9,371.5811
333,6,1,289.555
333,6,4,297.171
333,6,5,338.1665
333,6,8,333.36
333,6,9,362.0428
334,7,1,276.2012
334,7,2,243.3647
334,7,3,254.6723
334,7,5,284.1912
334,7,6,305.5248
334,7,7,331.5229
334,7,8,335.7469
334,7,9,377.299
349,10,3,254.922
349,10,4,250.7103
349,10,5,269.7744
349,10,7,308.102
349,10,9,351.6451
350,11,1,243.4543
350,11,2,256.2046
350,11,3,255.5271
350,11,4,268.9165
350,11,5,329.7247
350,11,7,362.9184
350,11,8,394.4872
350,11,9,389.0527
352,13,1,298.1939
352,13,2,326.8785
352,13,5,352.8287
352,13,6,354.4266
352,13,8,375.6406
369,14,1,268.4369
369,14,2,257.2424
369,14,3,277.6566
369,14,4,314.8222
369,14,5,317.2135
369,14,6,298.1353
369,14,8,340.28
369,14,9,366.5131
370,15,2,238.9008
370,15,4,267.5373
370,15,5,344.1937
370,15,7,347.5855
370,15,8,365.163
372,17,2,297.5968
372,17,3,310.6316
372,17,4,287.1726
372,17,5,329.6076
372,17,6,334.4818
372,17,7,343.2199
372,17,8,369.1417
372,17,9,364.1236
