subject,subject_idx,day,reaction
308,0,0,249.56
308,0,1,258.7047
308,0,2,250.8006
308,0,3,321.4398
308,0,4,356.8519
308,0,5,414.6901
308,0,6,382.2038
308,0,7,290.1486
308,0,8,430.5853
308,0,9,466.3535
309,1,0,222.7339
309,1,6,213.6303
310,2,0,199.0539
310,2,3,232.8416
310,2,4,229.3074
310,2,7,255.7511
310,2,8,261.0125
330,3,0,321.5426
330,3,1,300.4002
330,3,2,283.8565
330,3,3,285.133
330,3,4,285.7973
330,3,5,297.5855
330,3,6,280.2396
330,3,7,318.2613
330,3,8,305.3495
330,3,9,354.0487
331,4,0,287.6079
331,4,1,285.0
331,4,2,301.8206
331,4,3,320.1153
331,4,8,293.7469
332,5,0,234.8606
332,5,1,242.8118
332,5,2,272.9613
332,5,3,309.7688
332,5,4,317.4629
332,5,5,309.9976
332,5,6,454.1619
332,5,7,346.8311
332,5,8,330.3003
332,5,9,253.8644
333,6,0,283.8424
333,6,2,276.7693
333,6,3,299.8097
333,6,6,332.0265
333,6,7,348.8399
334,7,0,265.4731
334,7,4,279.0244
335,8,0,241.6083
335,8,1,273.9472
335,8,2,254.4907
335,8,3,270.8021
335,8,4,251.4519
335,8,5,254.6362
335,8,6,245.4523
335,8,7,235.311
335,8,8,235.7541
335,8,9,237.2466
337,9,0,312.3666
337,9,1,313.8058
337,9,2,291.6112
337,9,3,346.1222
337,9,4,365.7324
337,9,5,391.8385
337,9,6,404.2601
337,9,7,416.6923
337,9,8,455.8643
337,9,9,458.9167
349,10,0,236.1032
349,10,1,230.3167
349,10,2,238.9256
349,10,6,281.5648
349,10,8,336.2806
350,11,0,256.2968
350,11,6,379.4445
351,12,0,250.5265
351,12,1,300.0576
351,12,2,269.8939
351,12,3,280.5891
351,12,4,271.8274
351,12,5,304.6336
351,12,6,287.7466
351,12,7,266.5955
351,12,8,321.5418
351,12,9,347.5655
352,13,0,221.6771
352,13,3,346.8555
352,13,4,348.7402
352,13,7,360.4326
352,13,9,388.5417
369,14,0,271.9235
369,14,7,348.1229
370,15,0,225.264
370,15,1,234.5235
370,15,3,240.473
370,15,6,281.1481
370,15,9,372.2288
371,16,0,269.8804
371,16,1,272.4428
371,16,2,277.8989
371,16,3,281.7895
371,16,4,279.1705
371,16,5,284.512
371,16,6,259.2658
371,16,7,304.6306
371,16,8,350.7807
371,16,9,369.4692
372,17,0,269.4117
372,17,1,273.474
