food,service,location,share_poor,share_average,share_good,share_excellent
0.842314,0.182379,0.227178,0.033046,0.060413,0.540001,0.366539
0.120726,0.191813,0.722015,0.191480,0.158128,0.487835,0.162557
0.765446,0.152540,0.951706,0.000791,0.109073,0.513240,0.376896
0.029310,0.098711,0.553143,0.119540,0.224858,0.505518,0.150084
0.124447,0.594562,0.959491,0.012062,0.116292,0.521733,0.349914
0.693227,0.724096,0.318164,0.005078,0.042437,0.635586,0.316899
0.820071,0.641026,0.262987,0.008763,0.125720,0.481959,0.383558
0.192016,0.775891,0.856076,0.009479,0.038332,0.641042,0.311147
0.818155,0.311247,0.812862,0.005274,0.053515,0.668517,0.272694
0.950055,0.005937,0.670676,0.001911,0.118538,0.546098,0.333453
0.965415,0.120370,0.278026,0.006692,0.093532,0.611276,0.288500
0.984103,0.788689,0.421736,0.000181,0.052728,0.468010,0.479081
0.040947,0.205704,0.009072,0.346788,0.257179,0.282077,0.113956
0.939746,0.920053,0.636973,0.002417,0.014512,0.533578,0.449493
0.524903,0.874317,0.415876,0.018338,0.104382,0.513705,0.363575
0.367051,0.754542,0.367215,0.018422,0.085729,0.468692,0.427157
0.688642,0.583788,0.034946,0.006727,0.115387,0.429698,0.448189
0.970229,0.800994,0.954273,0.000829,0.037231,0.449408,0.512532
0.950138,0.220175,0.886600,0.017662,0.019015,0.547959,0.415364
0.165726,0.857906,0.429678,0.009706,0.094186,0.819216,0.076891
0.806131,0.657335,0.267338,0.000946,0.038945,0.538652,0.421457
0.591107,0.006508,0.237316,0.084445,0.151146,0.525989,0.238420
0.425662,0.991457,0.036244,0.064740,0.036595,0.665183,0.233482
0.150028,0.102396,0.066708,0.046146,0.170539,0.341744,0.441571
0.533955,0.964188,0.899322,0.006003,0.070064,0.536883,0.387051
0.688709,0.701765,0.755199,0.000245,0.058370,0.484694,0.456691
0.801803,0.448960,0.251827,0.001029,0.091986,0.567267,0.339717
0.931869,0.434670,0.037025,0.010927,0.078566,0.630339,0.280168
0.270986,0.970559,0.354628,0.016690,0.110216,0.564864,0.308231
0.996411,0.300048,0.915088,0.015846,0.029253,0.518581,0.436321
0.206627,0.880069,0.630201,0.065279,0.143186,0.565964,0.225570
0.557338,0.968117,0.344355,0.000325,0.046296,0.419893,0.533486
0.076532,0.750696,0.375976,0.061829,0.281149,0.571407,0.085615
0.105362,0.003166,0.634905,0.149016,0.158391,0.585853,0.106739
0.304132,0.985135,0.153031,0.006180,0.161017,0.542872,0.289930
0.888805,0.233303,0.103611,0.004840,0.037489,0.463563,0.494108
0.570108,0.260268,0.804100,0.000117,0.178878,0.424320,0.396685
0.780730,0.419370,0.951117,0.011456,0.061140,0.533332,0.394072
0.046265,0.734707,0.866831,0.033443,0.156030,0.444546,0.365981
0.674567,0.884296,0.388534,0.011806,0.059899,0.537023,0.391272
0.047890,0.512571,0.228334,0.052829,0.545290,0.247269,0.154611
0.902509,0.836923,0.396269,0.000238,0.041602,0.587019,0.371141
0.828034,0.373161,0.089997,0.017470,0.135921,0.490886,0.355723
0.219973,0.798114,0.855635,0.006749,0.109669,0.680544,0.203038
0.670903,0.554829,0.082722,0.003396,0.196812,0.481139,0.318653
0.754976,0.321875,0.984446,0.042769,0.064348,0.522728,0.370155
0.375359,0.648868,0.965180,0.074075,0.070101,0.360559,0.495264
0.586310,0.165942,0.543948,0.038024,0.117209,0.593911,0.250856
0.250261,0.416980,0.117743,0.018000,0.243236,0.604149,0.134616
0.462265,0.703244,0.123033,0.083749,0.077345,0.522719,0.316187
0.352916,0.039493,0.639572,0.090980,0.147285,0.450283,0.311452
0.196746,0.257635,0.368215,0.313038,0.070117,0.423022,0.193823
0.353854,0.932944,0.781788,0.017839,0.061016,0.491127,0.430019
0.053110,0.704602,0.024156,0.033726,0.179065,0.392009,0.395199
0.619349,0.244603,0.087944,0.074013,0.254435,0.355378,0.316174
0.441783,0.720858,0.599157,0.002097,0.141744,0.622888,0.233271
0.038035,0.838145,0.288446,0.139546,0.226987,0.533903,0.099564
0.198942,0.096317,0.778687,0.044623,0.073230,0.345054,0.537093
0.470080,0.813138,0.133882,0.101154,0.077623,0.538419,0.282805
0.864788,0.812614,0.323218,0.008719,0.048373,0.504914,0.437994
0.005709,0.377560,0.120591,0.076288,0.530269,0.312780,0.080664
0.992586,0.963147,0.160443,0.002989,0.016132,0.467182,0.513697
0.720898,0.809469,0.410242,0.019047,0.067916,0.456105,0.456933
0.907194,0.579382,0.890903,0.009265,0.069212,0.498993,0.422530
0.654863,0.844335,0.978833,0.012063,0.037834,0.588934,0.361169
0.104560,0.685323,0.109646,0.049899,0.042989,0.707407,0.199705
0.148586,0.057532,0.292011,0.009856,0.172926,0.485554,0.331664
0.564270,0.845633,0.232025,0.001262,0.096375,0.470056,0.432307
0.121626,0.207875,0.284454,0.259507,0.174364,0.446722,0.119407
0.432263,0.013800,0.225786,0.022122,0.427278,0.354477,0.196123
